Catering	La Universal	MONDAY	TUESDAY	WEDNESDAY	THURSDAY	FRIDAY
		2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06
Event	Diet	Monday	Tuesday	Wednesday	Thursday	Friday
Breakfast	Regular	* Double quesadilla with turkey ham (Sincronizadas) (1pc) OR * Scrambled eggs with turkey sausage OR * 1/2 Quesadilla + 1/2 portion of scrambled eggs	* Pancakes (3pcs) OR * Scrambled eggs with ham OR * 1.5 Pancakes + 1/2 portion of scrambled eggs	* Molletes: Mexican whitebread toast with beans, chorizo and cheese (2pcs) OR * Scrambled eggs with machaca OR * 1 Mollete + 1/2 portion of scrambled eggs	* Ham and cheese Croissants (1pc) OR * Egg tortilla in red tomato sauce OR * 1/2 Croissant + 1/2 Egg Tortilla	* Trivorced chilaquiles (3 types of sauces: Creamy chipotle, green tomatillo and red tomato sauce) OR * Scrambled eggs with bacon OR * 1/2 portion of Chilaquiles + 1/2 portion of scrambled eggs
Breakfast	Light	Scrambled egg whites with ham	Scrambled egg whites	Scrambled egg whites with mushrooms	Scrambled egg whites	Scrambled egg whites with bellpeppers
Breakfast	Vegan	Vegan sincronizada with vegetables and hummus (1pc)	Vegan pancakes (3pcs)	Mexican whitebread toast with beans and vegan cheese (2pcs)	Veggie croissant (1pc)	Divorced chilaquiles (2 types of sauces: Green tomatillo and red tomato sauce)
Breakfast	Vegetarian	* Double quesadilla with bellpepper (Sincronizadas) (1pc) OR * Scrambled eggs with nopales OR * 1/2 Quesadilla + 1/2 portion of scrambled eggs	* Pancakes (3pcs) OR * Scrambled eggs mexican style OR * 1.5 Pancakes + 1/2 portion of scrambled eggs	* Molletes: Mexican whitebread toast with beans, poblano strips and cheese (2pcs) OR * Scrambled eggs with mushrooms OR * 1 Mollete + 1/2 portion of scrambled eggs	* 3 cheese Croissants (1pc) OR * Egg tortilla in red tomato sauce OR * 1/2 Croissant + 1/2 Egg Tortilla	* Trivorced chilaquiles (3 types of sauces: Creamy chipotle, green tomatillo and red tomato sauce) OR * Scrambled eggs with bellpepper OR * 1/2 portion of Chilaquiles + 1/2 portion of scrambled eggs
Lunch	Regular	LEMON PEPPER GRILLED CHICKEN BREAST  Side Dishes:  Creamy bellpepper fusilli pasta / Zucchini cream	* CUBED PORK WITH POTATOES AND PARSLEY Side Dishes:  Red rice / Chickpea and carrot soup	* BEEFSTEAK IN RED GUAJILLO SAUCE, WITH NOPALES Side Dishes:  Crispy potato cubes  / Guacamole	* TIKKA MASALA Side Dishes:  Steamed rice / Sautéed peppers with onions	* BREADED FISH Side Dishes:  White rice / Veggie soup
Lunch	Light	CILANTRO AND LEMON PEPPER GRILLED CHICKEN BREAST Side Dishes: Quinoa, rice and sweet potato salad / Veggie soup	* PORKSTEAK WITH POTATOES AND PARSLEY Side Dishes:  Red rice / Chickpea and carrot soup	* BEEFSTEAK IN RED GUAJILLO SAUCE WITH NOPALES Side Dishes:  Crispy  sweet potato cubes  / Guacamole	* TANDOORI CHICKEN Side Dishes:  Steamed rice / Sautéed peppers with onions	* FISH WITH FINE HERBS Side Dishes:  White rice / Veggie soup
Lunch	Vegan	CHICKPEA AND SESAME SEED PATTIES WITH YOGHURT SAUCE Side Dishes:  Quinoa, rice and sweet potato salad / Veggie soup	* GREEN PEPPERS STUFFED WITH QUINOA, POBLANO STRIPS, YELLOW CORN AND CHEESE Side Dishes:  Red rice / Chickpea and carrot soup	* JAMAICA FLOWER TACOS Side Dishes:  Crispy potato cubes  / Guacamole	* VEGAN TIKKA MASALA (MUSHROOMS) Side Dishes:  Steamed rice / Sautéed peppers with onions	* STUFFED POBLANO CHILE, WITH LENTILS Side Dishes:  White rice / Refried beans
Lunch	Vegetarian	CHICKPEA AND SESAME SEED PATTIES WITH YOGHURT SAUCE Side Dishes:  Quinoa, rice and sweet potato salad / Veggie soup	* GREEN PEPPERS STUFFED WITH QUINOA, POBLANO STRIPS, YELLOW CORN AND CHEESE Side Dishes:  Red rice / Chickpea and carrot soup 	* JAMAICA FLOWER TACOS Side Dishes:  Crispy potato cubes  / Guacamole	* VEGETARIAN TIKKA MASALA (MUSHROOMS) Side Dishes:  Steamed rice / Sautéed peppers with onions	* TEMPURA,STUFFED POBLANO CHILE, WITH CHEESE Side Dishes:  White rice / Refried beans
Lunch	Extras	MIXED LETTUCE SALAD	"OREJONA" LETTUCE SALAD	"OREJONA" LETTUCE SALAD	ROMAINE SALAD	ROMAINE SALAD
Dinner	Regular	NO DINNER	NO DINNER	NO DINNER	NO DINNER	NO DINNER
Dinner	Vegan	NO DINNER	NO DINNER	NO DINNER	NO DINNER	NO DINNER
Dinner	Vegetarian	NO DINNER	NO DINNER	NO DINNER	NO DINNER	NO DINNER
